last_fico_range_high,last_fico_range_low,bc_util,revol_util,loan_amnt,int_rate,bc_open_to_buy,mo_sin_old_il_acct,dti,mo_sin_old_rev_tl_op,annual_inc,mo_sin_rcnt_rev_tl_op,sub_grade,fico_range_low,total_bc_limit,tot_cur_bal,num_il_tl,pct_tl_nvr_dlq,mo_sin_rcnt_tl,num_bc_tl,open_acc,acc_open_past_24mths,num_actv_rev_tl,grade,emp_length,percent_bc_gt_75,num_bc_sats,num_actv_bc_tl,num_tl_op_past_12m,inq_last_6mths,purpose,mort_acc,term,initial_list_status,verification_status,home_ownership,tot_coll_amt,num_accts_ever_120_pd,loan_status
764.0,760.0,11.3,8.0,12000.0,23.99,21815.0,237.0,22.82,106.0,60000.0,1.0,E2,745.0,24600.0,65307.0,10.0,100.0,1.0,5.0,14.0,9.0,5.0,E,10+ years,0.0,5.0,2.0,6.0,2.0,other,0.0, 60 months,w,Verified,RENT,0.0,0.0,Fully Paid
594.0,590.0,34.5,35.5,5600.0,11.99,6222.0,151.0,24.06,253.0,53000.0,1.0,B5,690.0,9500.0,167596.0,13.0,100.0,1.0,25.0,19.0,11.0,8.0,B,10+ years,25.0,4.0,3.0,7.0,2.0,home_improvement,1.0, 36 months,w,Verified,MORTGAGE,0.0,0.0,Charged Off
589.0,585.0,19.8,18.9,6000.0,18.06,25350.0,162.0,22.84,175.0,86000.0,5.0,D2,735.0,31600.0,205038.0,18.0,100.0,4.0,4.0,11.0,9.0,3.0,D,10+ years,66.7,3.0,2.0,5.0,2.0,home_improvement,3.0, 36 months,f,Not Verified,OWN,0.0,0.0,Charged Off
604.0,600.0,64.95,90.4,20000.0,30.49,4006.0,43.0,34.51,27.0,66000.0,22.0,F4,685.0,0.0,71221.0,9.0,90.9,13.0,0.0,4.0,7.0,1.0,F,3 years,50.0,0.0,0.0,0.0,1.0,major_purchase,0.0, 36 months,f,Source Verified,RENT,0.0,0.0,Charged Off
684.0,680.0,78.3,41.1,8000.0,17.57,1411.0,137.0,32.47,34.0,33072.0,4.0,D4,660.0,6500.0,32296.0,7.0,100.0,4.0,5.0,15.0,13.0,13.0,D,10+ years,60.0,5.0,5.0,7.0,3.0,debt_consolidation,0.0, 36 months,f,Verified,OWN,518.0,0.0,Fully Paid
604.0,600.0,78.0,73.3,16000.0,17.77,2595.0,239.0,15.82,170.0,68640.0,4.0,D1,670.0,11800.0,56184.0,16.0,92.0,4.0,11.0,13.0,9.0,9.0,D,9 years,50.0,6.0,5.0,3.0,0.0,debt_consolidation,0.0, 36 months,f,Not Verified,MORTGAGE,230.0,0.0,Fully Paid
704.0,700.0,56.0,27.7,5000.0,8.39,1584.0,122.0,18.94,137.0,60000.0,0.0,A5,660.0,3600.0,30150.0,5.0,100.0,0.0,10.0,13.0,10.0,9.0,A,10+ years,25.0,4.0,4.0,3.0,3.0,debt_consolidation,0.0, 36 months,w,Source Verified,RENT,815.0,0.0,Fully Paid
774.0,770.0,42.3,40.9,7500.0,7.89,9916.0,128.0,4.38,96.0,45000.0,11.0,A5,710.0,17200.0,7284.0,0.0,100.0,11.0,4.0,6.0,3.0,3.0,A,1 year,0.0,4.0,3.0,2.0,0.0,credit_card,0.0, 36 months,w,Source Verified,RENT,0.0,0.0,Fully Paid
704.0,700.0,60.5,38.4,35000.0,14.48,2367.0,191.0,17.01,245.0,80000.0,1.0,C5,670.0,6000.0,35929.0,3.0,96.4,1.0,9.0,17.0,9.0,12.0,C,3 years,0.0,2.0,2.0,3.0,0.0,debt_consolidation,0.0, 36 months,w,Source Verified,OWN,0.0,1.0,Fully Paid
749.0,745.0,34.5,49.6,7500.0,9.67,17296.0,216.0,16.36,261.0,155546.0,11.0,B1,710.0,26400.0,117403.0,10.0,97.6,3.0,16.0,22.0,7.0,14.0,B,10+ years,0.0,8.0,7.0,4.0,3.0,major_purchase,2.0, 36 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
709.0,705.0,64.95,93.9,5000.0,10.42,4006.0,102.0,14.32,238.0,43000.0,22.0,B3,670.0,0.0,96854.0,5.0,100.0,17.0,0.0,3.0,4.0,1.0,B,10+ years,50.0,0.0,0.0,0.0,0.0,credit_card,3.0, 36 months,f,Verified,MORTGAGE,200.0,0.0,Fully Paid
689.0,685.0,98.8,96.4,20000.0,10.49,363.0,128.0,13.28,151.0,57000.0,80.0,B3,690.0,30000.0,29694.0,0.0,100.0,80.0,4.0,3.0,0.0,3.0,B,4 years,100.0,2.0,2.0,0.0,0.0,credit_card,0.0, 36 months,w,Source Verified,RENT,0.0,0.0,Fully Paid
729.0,725.0,39.0,21.2,1000.0,12.88,7405.0,130.0,6.1,224.0,70000.0,0.0,C2,680.0,9900.0,33678.0,44.0,100.0,0.0,18.0,13.0,20.0,5.0,C,10+ years,20.0,5.0,3.0,9.0,3.0,other,1.0, 36 months,w,Verified,RENT,0.0,0.0,Fully Paid
694.0,690.0,84.5,75.8,8400.0,14.3,1163.0,165.0,16.32,525.0,74344.0,8.0,C1,670.0,7500.0,39807.0,7.0,89.0,8.0,10.0,8.0,4.0,5.0,C,10+ years,100.0,3.0,3.0,2.0,0.0,debt_consolidation,9.0, 36 months,w,Verified,MORTGAGE,0.0,1.0,Fully Paid
619.0,615.0,95.9,66.6,5000.0,11.99,488.0,158.0,27.99,98.0,47000.0,2.0,C1,670.0,12000.0,99374.0,18.0,100.0,2.0,6.0,13.0,10.0,5.0,C,2 years,100.0,4.0,4.0,4.0,1.0,debt_consolidation,0.0, 36 months,w,Verified,RENT,0.0,0.0,Fully Paid
754.0,750.0,41.7,41.7,16800.0,12.29,4257.0,133.0,6.87,124.0,50000.0,37.0,C1,675.0,7300.0,8543.0,6.0,73.3,13.0,6.0,3.0,1.0,2.0,C,5 years,0.0,2.0,2.0,0.0,0.0,debt_consolidation,0.0, 60 months,w,Not Verified,RENT,0.0,4.0,Fully Paid
689.0,685.0,67.9,64.6,5000.0,6.92,1669.0,144.0,6.87,65.0,50000.0,10.0,A4,665.0,5200.0,13761.0,6.0,94.4,10.0,8.0,11.0,1.0,6.0,A,3 years,40.0,5.0,4.0,1.0,0.0,debt_consolidation,0.0, 36 months,w,Source Verified,RENT,0.0,0.0,Fully Paid
519.0,515.0,102.3,92.8,7550.0,18.75,0.0,141.0,30.3,272.0,32000.0,5.0,D3,680.0,2700.0,103716.0,4.0,91.0,5.0,10.0,9.0,1.0,5.0,D,< 1 year,100.0,2.0,1.0,1.0,0.0,debt_consolidation,4.0, 36 months,f,Verified,MORTGAGE,0.0,2.0,Charged Off
644.0,640.0,14.1,12.7,10000.0,11.44,26723.0,141.0,5.03,246.0,68000.0,22.0,B4,750.0,31100.0,96549.0,3.0,90.5,4.0,10.0,7.0,2.0,2.0,B,10+ years,0.0,2.0,1.0,1.0,1.0,home_improvement,2.0, 60 months,w,Verified,MORTGAGE,0.0,0.0,Charged Off
719.0,715.0,56.9,42.3,6000.0,9.75,5605.0,68.0,6.24,42.0,51000.0,9.0,B3,680.0,13000.0,30169.0,7.0,100.0,9.0,5.0,6.0,4.0,4.0,B,3 years,33.3,3.0,3.0,3.0,0.0,credit_card,0.0, 36 months,w,Source Verified,RENT,697.0,0.0,Fully Paid
709.0,705.0,85.6,68.4,15000.0,12.05,1698.0,163.0,39.92,150.0,49000.0,17.0,C1,695.0,11800.0,54742.0,7.0,100.0,2.0,8.0,11.0,3.0,6.0,C,10+ years,60.0,5.0,5.0,1.0,0.0,debt_consolidation,0.0, 36 months,w,Verified,OWN,0.0,0.0,Fully Paid
684.0,680.0,89.0,65.3,24000.0,26.99,3178.0,144.0,29.79,188.0,74000.0,7.0,F3,675.0,28900.0,62480.0,10.0,89.3,7.0,13.0,12.0,5.0,3.0,F,5 years,40.0,5.0,3.0,2.0,1.0,debt_consolidation,1.0, 60 months,w,Verified,MORTGAGE,0.0,0.0,Fully Paid
559.0,555.0,75.0,81.0,24000.0,8.24,6929.0,144.0,10.71,120.0,90000.0,4.0,B1,670.0,48500.0,128824.0,1.0,100.0,4.0,7.0,9.0,6.0,8.0,B,10+ years,42.9,7.0,7.0,3.0,1.0,debt_consolidation,5.0, 36 months,w,Source Verified,MORTGAGE,0.0,0.0,Charged Off
664.0,660.0,71.5,65.4,7500.0,11.99,8980.0,114.0,57.84,149.0,30000.0,1.0,B5,660.0,31500.0,193376.0,11.0,100.0,1.0,10.0,21.0,2.0,10.0,B,< 1 year,66.7,9.0,9.0,1.0,0.0,credit_card,3.0, 36 months,w,Source Verified,MORTGAGE,903.0,0.0,Fully Paid
574.0,570.0,69.9,63.0,25000.0,14.33,1113.0,254.0,20.17,376.0,72000.0,16.0,C5,725.0,3700.0,183805.0,17.0,83.8,5.0,8.0,13.0,3.0,5.0,C,10+ years,50.0,2.0,2.0,1.0,1.0,debt_consolidation,4.0, 60 months,w,Not Verified,MORTGAGE,0.0,1.0,Charged Off
499.0,0.0,65.4,56.5,12000.0,11.49,3776.0,97.0,18.94,25.0,65000.0,13.0,B5,660.0,10900.0,47498.0,4.0,100.0,5.0,7.0,8.0,9.0,5.0,B,6 years,20.0,5.0,5.0,2.0,1.0,debt_consolidation,0.0, 36 months,f,Source Verified,OWN,1379.0,0.0,Charged Off
684.0,680.0,32.8,31.3,15600.0,11.99,14245.0,99.0,26.87,237.0,54000.0,0.0,B3,700.0,21200.0,177141.0,10.0,86.0,0.0,5.0,13.0,4.0,6.0,B,10+ years,50.0,4.0,3.0,3.0,0.0,debt_consolidation,2.0, 36 months,f,Verified,MORTGAGE,0.0,0.0,Fully Paid
714.0,710.0,97.9,99.4,16000.0,9.17,75.0,59.0,29.56,256.0,64000.0,21.0,B2,730.0,3600.0,62696.0,4.0,100.0,12.0,4.0,5.0,3.0,2.0,B,10+ years,100.0,1.0,1.0,1.0,0.0,debt_consolidation,0.0, 60 months,w,Not Verified,RENT,0.0,0.0,Fully Paid
719.0,715.0,20.0,19.0,10000.0,12.29,12240.0,132.0,4.48,142.0,112000.0,3.0,C1,675.0,15300.0,169876.0,17.0,63.3,3.0,10.0,8.0,7.0,3.0,C,< 1 year,0.0,5.0,3.0,5.0,1.0,home_improvement,6.0, 36 months,w,Not Verified,MORTGAGE,13812.0,7.0,Fully Paid
689.0,685.0,70.4,59.0,11200.0,17.99,9860.0,41.0,26.13,64.0,106000.0,9.0,D2,705.0,33300.0,396762.0,5.0,100.0,9.0,9.0,15.0,11.0,5.0,D,6 years,50.0,4.0,3.0,2.0,1.0,debt_consolidation,5.0, 36 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
529.0,525.0,23.9,20.0,16000.0,14.65,29737.0,113.0,27.24,298.0,43970.0,1.0,C5,755.0,39100.0,44148.0,4.0,100.0,1.0,15.0,15.0,6.0,2.0,C,10+ years,11.1,9.0,2.0,5.0,1.0,debt_consolidation,4.0, 60 months,f,Verified,RENT,0.0,1.0,Fully Paid
624.0,620.0,37.3,30.6,6000.0,10.15,4388.0,47.0,10.25,70.0,45760.0,7.0,B2,710.0,7000.0,58947.0,4.0,100.0,7.0,4.0,9.0,5.0,4.0,B,6 years,25.0,4.0,3.0,4.0,1.0,credit_card,0.0, 36 months,f,Not Verified,RENT,0.0,0.0,Fully Paid
739.0,735.0,38.1,38.3,10000.0,16.02,6187.0,128.0,19.04,231.0,30000.0,3.0,C5,660.0,10000.0,10606.0,0.0,88.9,3.0,6.0,15.0,9.0,13.0,C,10+ years,40.0,5.0,5.0,6.0,2.0,debt_consolidation,0.0, 36 months,w,Verified,RENT,0.0,0.0,Fully Paid
549.0,545.0,13.8,20.4,4000.0,17.09,5174.0,149.0,31.51,139.0,42000.0,1.0,D1,685.0,6000.0,150145.0,23.0,95.2,1.0,4.0,22.0,7.0,7.0,D,10+ years,0.0,2.0,2.0,3.0,1.0,debt_consolidation,2.0, 36 months,w,Not Verified,MORTGAGE,6879.0,0.0,Charged Off
544.0,540.0,27.3,24.1,2400.0,11.99,10538.0,125.0,6.72,125.0,30000.0,3.0,B3,725.0,14500.0,9121.0,5.0,91.7,3.0,8.0,9.0,3.0,3.0,B,7 years,25.0,4.0,2.0,2.0,0.0,debt_consolidation,0.0, 36 months,f,Not Verified,RENT,0.0,0.0,Charged Off
649.0,645.0,85.7,94.8,28000.0,15.05,1072.0,118.0,18.54,138.0,43680.0,8.0,C4,675.0,7500.0,256199.0,8.0,83.3,7.0,1.0,6.0,4.0,3.0,C,1 year,100.0,1.0,1.0,2.0,0.0,debt_consolidation,4.0, 36 months,w,Source Verified,MORTGAGE,0.0,0.0,Fully Paid
544.0,540.0,95.0,69.2,19575.0,17.27,159.0,25.0,24.65,91.0,63000.0,9.0,D2,660.0,3200.0,44147.0,3.0,100.0,9.0,5.0,7.0,6.0,2.0,D,10+ years,100.0,2.0,1.0,3.0,0.0,debt_consolidation,0.0, 36 months,f,Not Verified,RENT,0.0,0.0,Charged Off
499.0,0.0,15.1,15.9,15950.0,21.67,4502.0,150.0,18.36,165.0,44650.0,5.0,E5,670.0,5300.0,18763.0,7.0,100.0,5.0,14.0,15.0,12.0,7.0,E,10+ years,0.0,2.0,2.0,4.0,1.0,debt_consolidation,4.0, 60 months,f,Verified,MORTGAGE,0.0,0.0,Charged Off
699.0,695.0,95.5,79.3,21000.0,12.74,568.0,86.0,22.09,196.0,78000.0,9.0,C1,685.0,12600.0,156467.0,4.0,90.0,9.0,11.0,10.0,3.0,6.0,C,7 years,75.0,4.0,4.0,3.0,0.0,debt_consolidation,1.0, 36 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
754.0,750.0,71.0,68.0,30000.0,14.46,5500.0,154.0,25.99,334.0,100000.0,8.0,C4,665.0,49500.0,297182.0,10.0,98.0,8.0,18.0,17.0,7.0,11.0,C,10+ years,22.2,18.0,9.0,5.0,0.0,debt_consolidation,2.0, 60 months,w,Verified,MORTGAGE,0.0,0.0,Fully Paid
774.0,770.0,21.1,15.1,10000.0,5.32,30388.0,150.0,24.23,150.0,80000.0,5.0,A1,775.0,38500.0,38392.0,8.0,100.0,3.0,5.0,15.0,4.0,8.0,A,10+ years,0.0,5.0,4.0,3.0,0.0,debt_consolidation,0.0, 36 months,f,Not Verified,RENT,0.0,0.0,Fully Paid
694.0,690.0,67.0,83.5,9600.0,5.32,4922.0,117.0,21.13,145.0,81000.0,29.0,A1,700.0,14900.0,310275.0,26.0,100.0,6.0,5.0,12.0,3.0,3.0,A,10+ years,0.0,2.0,2.0,1.0,0.0,debt_consolidation,5.0, 36 months,w,Source Verified,MORTGAGE,0.0,0.0,Fully Paid
754.0,750.0,36.2,53.5,21000.0,13.67,7463.0,167.0,22.11,72.0,85000.0,15.0,C4,745.0,11700.0,400554.0,16.0,100.0,10.0,6.0,15.0,3.0,8.0,C,4 years,0.0,6.0,5.0,1.0,0.0,debt_consolidation,2.0, 60 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
719.0,715.0,93.4,50.7,14675.0,25.89,461.0,55.0,27.74,75.0,40800.0,6.0,G3,660.0,7000.0,41620.0,5.0,100.0,6.0,2.0,5.0,4.0,2.0,G,2 years,100.0,1.0,1.0,2.0,0.0,debt_consolidation,0.0, 60 months,w,Source Verified,RENT,0.0,0.0,Fully Paid
724.0,720.0,84.2,67.4,21600.0,14.65,3557.0,78.0,11.24,135.0,69672.0,8.0,C5,670.0,22500.0,200145.0,2.0,87.0,5.0,12.0,12.0,7.0,5.0,C,10+ years,83.3,6.0,5.0,3.0,0.0,credit_card,3.0, 60 months,w,Source Verified,MORTGAGE,0.0,3.0,Fully Paid
764.0,760.0,44.2,33.8,9000.0,6.24,10266.0,137.0,8.79,91.0,80000.0,34.0,A2,705.0,18400.0,148860.0,7.0,100.0,15.0,7.0,10.0,2.0,5.0,A,8 years,33.3,6.0,5.0,0.0,0.0,credit_card,2.0, 36 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
809.0,805.0,66.4,64.9,14000.0,14.99,5713.0,29.0,3.63,241.0,107000.0,25.0,C5,680.0,17000.0,11287.0,3.0,92.3,14.0,7.0,6.0,2.0,5.0,C,10+ years,20.0,5.0,5.0,0.0,0.0,debt_consolidation,0.0, 60 months,w,Verified,RENT,0.0,0.0,Fully Paid
834.0,830.0,57.4,46.6,10000.0,8.9,9155.0,157.0,13.97,162.0,45000.0,54.0,A5,740.0,21500.0,68389.0,5.0,100.0,8.0,10.0,9.0,1.0,4.0,A,10+ years,0.0,5.0,4.0,1.0,0.0,debt_consolidation,2.0, 36 months,f,Source Verified,MORTGAGE,0.0,0.0,Fully Paid
699.0,695.0,18.9,17.4,13000.0,7.89,23120.0,35.0,17.39,156.0,76000.0,100.0,A5,710.0,28500.0,213084.0,3.0,94.1,4.0,6.0,9.0,2.0,3.0,A,1 year,0.0,3.0,2.0,2.0,1.0,debt_consolidation,3.0, 36 months,w,Not Verified,MORTGAGE,0.0,1.0,Fully Paid
744.0,740.0,1.6,1.6,9000.0,5.32,36553.0,76.0,8.91,232.0,62500.0,12.0,A1,810.0,37500.0,111877.0,11.0,100.0,12.0,10.0,7.0,5.0,2.0,A,10+ years,0.0,5.0,2.0,1.0,0.0,home_improvement,3.0, 36 months,w,Not Verified,MORTGAGE,0.0,0.0,Fully Paid
524.0,520.0,99.3,76.5,25075.0,29.96,41.0,135.0,22.34,132.0,57000.0,1.0,G4,665.0,5500.0,99609.0,3.0,100.0,1.0,3.0,8.0,5.0,4.0,G,10+ years,100.0,2.0,1.0,4.0,0.0,debt_consolidation,1.0, 60 months,w,Verified,MORTGAGE,0.0,0.0,Charged Off
559.0,555.0,98.2,26.0,23000.0,20.49,194.0,118.0,21.04,203.0,82000.0,5.0,E1,685.0,10900.0,279796.0,33.0,96.0,5.0,8.0,20.0,6.0,4.0,E,5 years,100.0,3.0,3.0,1.0,0.0,debt_consolidation,3.0, 60 months,f,Verified,MORTGAGE,163.0,0.0,Charged Off
714.0,710.0,55.6,46.4,6000.0,14.3,3333.0,161.0,5.1,167.0,40000.0,1.0,C1,700.0,7500.0,207307.0,2.0,100.0,1.0,7.0,8.0,6.0,4.0,C,10+ years,33.3,3.0,2.0,5.0,1.0,debt_consolidation,1.0, 36 months,f,Verified,MORTGAGE,106.0,0.0,Fully Paid
619.0,615.0,100.0,75.4,8000.0,12.29,3.0,98.0,26.99,79.0,63000.0,5.0,C1,670.0,13800.0,146387.0,12.0,100.0,5.0,4.0,15.0,8.0,7.0,C,7 years,100.0,4.0,4.0,2.0,0.0,debt_consolidation,1.0, 36 months,w,Source Verified,MORTGAGE,0.0,0.0,Fully Paid
804.0,800.0,41.1,41.1,30000.0,9.99,40029.0,13.0,21.69,306.0,90000.0,51.0,B3,740.0,68000.0,322629.0,1.0,100.0,13.0,10.0,10.0,1.0,3.0,B,< 1 year,33.3,6.0,3.0,0.0,0.0,debt_consolidation,6.0, 60 months,f,Source Verified,MORTGAGE,0.0,0.0,Fully Paid
